id,p,true_fraud,component,period_index,authentication_strength,relationship_genuineness,delivery_provability,filing_delay_days,dispute_propensity,reason_subtype,epsilon
dsp_000000,0.07307096301150122,True,fraud_nonconfounder,18,0.14638163618693525,0.3932203680738315,0.7149271216911148,7.395751899970783,0.9026945772634993,VISA_83,-0.26296182680091734
dsp_000001,0.08956062021679058,True,fraud_nonconfounder,10,0.3997058763517532,0.5151156014439333,0.551054980644701,3.7706111992058324,0.4447975824341469,MC_4840,-0.08490512648149322
dsp_000002,0.07163487990504444,True,fraud_nonconfounder,20,0.17799682211670928,0.3404910542000777,0.39977749559055353,11.869446295927744,0.7166468957182007,VISA_83,-0.13200826684253497
dsp_000003,0.16257720323146535,False,genuine_nonconfounder,16,0.4550961276696828,0.905273963409691,0.1999877748855482,19.418681995089496,0.5863304532032004,MC_4840,-1.096873112849617
dsp_000004,0.5189695748549333,False,genuine_nonconfounder,2,0.9434089647777396,0.8243929170145686,0.49330116578316,21.439816996799284,0.657870410689674,AMEX_FR2,0.3034858740785929
dsp_000005,0.1105947138897613,True,fraud_nonconfounder,23,0.10095839278974358,0.4166627156649079,0.4994032466003943,7.093793572119495,0.6572726344969291,MC_4840,0.5742415994310043
dsp_000006,0.037372235418117336,True,fraud_nonconfounder,18,0.6823634774339286,0.5018208303753829,0.38940535001014637,2.295042153832935,0.22882357830419803,MC_4840,-1.7323818739561239
dsp_000007,0.48747140705432124,False,genuine_nonconfounder,18,0.8360809671090738,0.8680222021061748,0.30856902745189285,13.442229433557435,0.577947931980322,VISA_83,0.4254109600748372
dsp_000008,0.247872413846608,False,genuine_nonconfounder,3,0.6995433250781043,0.6800090474573357,0.21154479921358424,14.50294785923509,0.18343337853756359,AMEX_FR2,-0.5600144207856091
dsp_000009,0.07684289919986735,True,fraud_nonconfounder,10,0.4173699958820129,0.1910512665615103,0.9462016251718491,11.695118106266518,0.4875929031969727,MC_4840,-0.40695387199121474
dsp_000010,0.052808204304705064,True,fraud_nonconfounder,8,0.15649337089461754,0.14376967085143122,0.22566941829451467,5.832470319499513,0.41955784320540856,AMEX_FR2,-0.2907638675799827
dsp_000011,0.031009981823689303,True,fraud_nonconfounder,22,0.21688289424599866,0.06113536134323473,0.23273853205695288,7.5931538720600305,0.44750080779486023,VISA_83,-1.428173281668833
dsp_000012,0.19483680969803172,False,genuine_nonconfounder,15,0.5770625761371317,0.9159109962200732,0.45006479542805145,3.3582553904342003,0.21799383042763343,MC_4837,-0.8549470902620409
dsp_000013,0.3136007418610979,False,genuine_nonconfounder,19,0.6989356093211772,0.837386230963743,0.5513696673491791,13.395800971274472,0.3964986561037253,MC_4840,-0.407265706046893
dsp_000014,0.161511160505999,True,fraud_nonconfounder,10,0.30580838615452643,0.14166795393386863,0.4834597060206914,5.517826757906019,0.3517314097811652,VISA_83,1.0865385270953813
dsp_000015,0.32798607269410024,False,genuine_nonconfounder,5,0.665039628759132,0.6122788662365919,0.407135959859113,1.8291838379423542,0.628773593576509,MC_4840,-0.039736537719883704
dsp_000016,0.03369394834771281,True,fraud_nonconfounder,13,0.34708682702624916,0.3999536267942573,0.21771277481260862,3.1300073699168918,0.9711591573422846,MC_4837,-1.5853594532725255
dsp_000017,0.22325012963626098,False,traveler_confounder,1,0.04675558499064266,0.7055317259993797,0.5181172740062018,4.884943593345106,0.16715340187529798,VISA_83,0.010064324661222103
